ville,adresse,type,surface,operation,prix_original,prix_corrected,reason
Rabat,Souissi,Terrain,49.8,à vendre,6000,299000,"Original 6,000 MAD < market floor (800–8,000 MAD/m² × 49.8 m²)"
Casablanca,Almaz,Appartement,49.9,à vendre,11000,549000,"Original 11,000 MAD < market floor (12,000–45,000 MAD/m² × 49.9 m²)"
Agadir,Agadir Oufella,Appartement,50.3,à vendre,13000,654000,"Original 13,000 MAD < market floor (7,000–25,000 MAD/m² × 50.3 m²)"
Tanger,Autre secteur,Terrain,48.7,à vendre,6200,302000,"Original 6,200 MAD < market floor (300–4,000 MAD/m² × 48.7 m²)"
Ouarzazate,Toute la ville,Terrain,50.3,à vendre,180,9000,"Original 180 MAD < market floor (300–4,000 MAD/m² × 50.3 m²)"
Casablanca,Derb Omar,Appartement,50.3,à vendre,10000,503000,"Original 10,000 MAD < market floor (12,000–45,000 MAD/m² × 50.3 m²)"
Benslimane,Autre secteur,Villa,50.3,à vendre,160000,1207000,"Original 160,000 MAD < market floor (8,000–40,000 MAD/m² × 50.3 m²)"
Bouznika,Autre secteur,Appartement,80.0,à vendre,10000,800000,"Original 10,000 MAD < market floor (8,000–35,000 MAD/m² × 80.0 m²)"
Rabat,Autre secteur,Terrain,49.8,à vendre,30,219000,"Original 30 MAD < market floor (800–8,000 MAD/m² × 49.8 m²)"
Casablanca,Errahma,Terrain,48.9,à vendre,12000,587000,"Original 12,000 MAD < market floor (1,000–10,000 MAD/m² × 48.9 m²)"
Tiznit,Toute la ville,Terrain,50.3,à vendre,300,15000,"Original 300 MAD < market floor (300–4,000 MAD/m² × 50.3 m²)"
Casablanca,Quartier des Hôpitaux,Terrain,684.0,à vendre,23000,3762000,"Original 23,000 MAD < market floor (1,000–10,000 MAD/m² × 684.0 m²)"
Marrakech,Route de Casablanca,Appartement,134.0,à vendre,12000,1608000,"Original 12,000 MAD < market floor (10,000–42,000 MAD/m² × 134.0 m²)"
Tanger,manar,Terrain,48.7,à vendre,4000,195000,"Original 4,000 MAD < market floor (300–4,000 MAD/m² × 48.7 m²)"
Essaouira,Route de Safi,Terrain,50.3,à vendre,200,10000,"Original 200 MAD < market floor (300–4,000 MAD/m² × 50.3 m²)"
Casablanca,Oasis,Terrain,50.3,à vendre,4600,231000,"Original 4,600 MAD < market floor (1,000–10,000 MAD/m² × 50.3 m²)"
Fès,Route d'Immouzere,Terrain,50.2,à vendre,2000,100000,"Original 2,000 MAD < market floor (300–4,000 MAD/m² × 50.2 m²)"
El Jadida,Autre secteur,Villa,50.3,à vendre,170000,1207000,"Original 170,000 MAD < market floor (8,000–40,000 MAD/m² × 50.3 m²)"
Casablanca,Ain Sebaa,Villa,49.9,à vendre,13000,649000,"Original 13,000 MAD < market floor (12,000–55,000 MAD/m² × 49.9 m²)"
Casablanca,Aïn Chock,Appartement,51.3,à vendre,160000,1462000,"Original 160,000 MAD < market floor (12,000–45,000 MAD/m² × 51.3 m²)"
Temara,Harhoura,Appartement,50.3,à vendre,26000,1308000,"Original 26,000 MAD < market floor (8,000–35,000 MAD/m² × 50.3 m²)"
El Jadida,Autre secteur,Appartement,50.3,à vendre,6000,302000,"Original 6,000 MAD < market floor (8,000–35,000 MAD/m² × 50.3 m²)"
Casablanca,Errahma,Appartement,48.9,à vendre,7000,342000,"Original 7,000 MAD < market floor (12,000–45,000 MAD/m² × 48.9 m²)"
Meknès,Autre secteur,Appartement,50.3,à vendre,1,591000,"Original 1 MAD < market floor (5,500–18,000 MAD/m² × 50.3 m²)"
Salé,Sala El Jadida,Appartement,48.6,à vendre,12500,608000,"Original 12,500 MAD < market floor (8,000–35,000 MAD/m² × 48.6 m²)"
Rabat,Abi Ragrag,Villa,49.8,à vendre,20000,996000,"Original 20,000 MAD < market floor (10,000–50,000 MAD/m² × 49.8 m²)"
