ville,adresse,type,date,prix,surface,operation,description,surface_predicted,is_placeholder,price_label,label_reason,prix_normalise,prix_m2
marrakech,Semlalia,Appartement,23/04/2026,3000000,100.0,à vendre,"2 chambre, 1 salon. Appartement  3 pièces 100 m² Marrakech  « Semlalia »",,True,total,fits total range with realistic per-m² ratio,3000000.0,30000.0
marrakech,Les Portes De Marrakech,Appartement,23/04/2026,400000,50.0,à vendre,2 chambre. Appartement  2 pièces 50 m² Marrakech  « Les Portes De Marrakech »,,True,total,fits total range with realistic per-m² ratio,400000.0,8000.0
marrakech,Hay Izdihar,Appartement,22/04/2026,1001000,77.0,à vendre,"2 chambre, 1 salon, avec Garage. Appartement  3 pièces 77 m² Marrakech  « Hay Izdihar »",,False,total,fits total range with realistic per-m² ratio,1001000.0,13000.0
marrakech,Daoudiate,Appartement,11/04/2026,960000,90.0,à vendre,"2 chambre, 2 salon. Appartement meublé 4 pièces 90 m² Marrakech  « Daoudiate »",,False,total,fits total range with realistic per-m² ratio,960000.0,10666.666666666666
marrakech,M'hamid,Appartement,08/04/2026,660000,72.0,à vendre,"3 chambre, 1 salon. Appartement  4 pièces 72 m² Marrakech  « M'hamid »",,False,total,fits total range with realistic per-m² ratio,660000.0,9166.666666666666
marrakech,Amerchich,Appartement,30/03/2026,1335000,89.0,à vendre,"2 chambre, 1 salon, avec Garage. Appartement meublé 3 pièces 89 m² Marrakech  « Amerchich »",,False,total,fits total range with realistic per-m² ratio,1335000.0,15000.0
marrakech,M'hamid,Appartement,15/03/2026,520000,66.0,à vendre,"3 chambre, 1 salon. Appartement  4 pièces 66 m² Marrakech  « M'hamid »",,False,total,fits total range with realistic per-m² ratio,520000.0,7878.787878787879
marrakech,Azli,Appartement,04/03/2026,430000,70.0,à vendre,"2 chambre, 1 salon. Appartement  3 pièces 70 m² Marrakech  « Azli »",,False,total,fits total range with realistic per-m² ratio,430000.0,6142.857142857143
marrakech,Av Abdelkrim El Khattabi,Appartement,28/02/2026,1450000,92.0,à vendre,"2 chambre, 2 salon. Appartement  4 pièces 92 m² Marrakech  « Av Abdelkrim El Khattabi »",,True,total,fits total range with realistic per-m² ratio,1450000.0,15760.869565217392
marrakech,M'hamid,Appartement,26/02/2026,750000,88.0,à vendre,"2 chambre, 1 salon. Appartement  3 pièces 88 m² Marrakech  « M'hamid »",,True,total,fits total range with realistic per-m² ratio,750000.0,8522.727272727272
marrakech,Victor Hugo,Appartement,25/02/2026,2000000,117.0,à vendre,"2 chambre, 1 salon. Appartement  3 pièces 117 m² Marrakech  « Victor Hugo »",,True,total,fits total range with realistic per-m² ratio,2000000.0,17094.017094017094
marrakech,Guéliz,Appartement,25/02/2026,2200000,105.0,à vendre,"2 chambre, 2 salon, avec Garage. Appartement  4 pièces 105 m² Marrakech  « Guéliz »",,True,total,fits total range with realistic per-m² ratio,2200000.0,20952.380952380954
marrakech,Assif,Appartement,24/02/2026,950000,93.0,à vendre,"3 chambre, 1 salon. Appartement  4 pièces 93 m² Marrakech  « Assif »",,True,total,fits total range with realistic per-m² ratio,950000.0,10215.053763440861
marrakech,Non spécifié,Appartement,15/02/2026,1350000,84.0,à vendre,"2 chambre, 1 salon. Appartement meublé 3 pièces 84 m² Marrakech",,True,total,fits total range with realistic per-m² ratio,1350000.0,16071.42857142857
marrakech,Non spécifié,Appartement,09/02/2026,1490000,93.0,à vendre,"2 chambre, 1 salon, avec Garage. Appartement meublé 3 pièces 93 m² Marrakech",,False,total,fits total range with realistic per-m² ratio,1490000.0,16021.505376344086
marrakech,Guéliz,Appartement,09/02/2026,1800000,80.0,à vendre,"2 chambre, 1 salon. Appartement  3 pièces 80 m² Marrakech  « Guéliz »",,True,total,fits total range with realistic per-m² ratio,1800000.0,22500.0
marrakech,Bab Ighli,Appartement,09/02/2026,2000000,97.0,à vendre,"2 chambre, 1 salon, avec Garage. Appartement  3 pièces 97 m² Marrakech  « Bab Ighli »",,True,total,fits total range with realistic per-m² ratio,2000000.0,20618.556701030928
marrakech,Azli,Appartement,08/02/2026,420000,64.0,à vendre,"2 chambre, 1 salon. Appartement  3 pièces 64 m² Marrakech  « Azli »",,False,total,fits total range with realistic per-m² ratio,420000.0,6562.5
tanger,Aharrarine,Appartement,28/04/2026,430000,66.0,à vendre,"3 chambre, 1 salon, avec Garage. Appartement  4 pièces 66 m² Tanger  « Aharrarine »",,False,total,fits total range with realistic per-m² ratio,430000.0,6515.151515151515
tanger,Non spécifié,Appartement,28/04/2026,1740000,134.0,à vendre,"3 chambre, 1 salon. Appartement  4 pièces 134 m² Tanger",,False,total,fits total range with realistic per-m² ratio,1740000.0,12985.074626865671
tanger,Laaouina,Appartement,27/04/2026,950000,93.0,à vendre,"3 chambre, 1 salon, avec Garage. Appartement  4 pièces 93 m² Tanger  « Laaouina »",,True,total,fits total range with realistic per-m² ratio,950000.0,10215.053763440861
tanger,Non spécifié,Appartement,27/04/2026,2800000,147.0,à vendre,"3 chambre, 2 salon, avec Garage. Appartement  5 pièces 147 m² Tanger",,True,total,fits total range with realistic per-m² ratio,2800000.0,19047.619047619046
tanger,Jirrari,Appartement,16/04/2026,858000,78.0,à vendre,"2 chambre, 1 salon. Appartement meublé 3 pièces 78 m² Tanger  « Jirrari »",,False,total,fits total range with realistic per-m² ratio,858000.0,11000.0
tanger,Aharrarine,Appartement,15/04/2026,660000,66.0,à vendre,"3 chambre, 1 salon, avec Garage. Appartement  4 pièces 66 m² Tanger  « Aharrarine »",,False,total,fits total range with realistic per-m² ratio,660000.0,10000.0
tanger,Non spécifié,Appartement,14/04/2026,1500000,110.0,à vendre,"2 chambre, 2 salon. Appartement  4 pièces 110 m² Tanger",,True,total,fits total range with realistic per-m² ratio,1500000.0,13636.363636363636
tanger,Hay Hassani,Appartement,11/04/2026,1300000,65.0,à vendre,"2 chambre, 1 salon. Appartement meublé 3 pièces 65 m² Tanger  « Hay Hassani »",,True,total,fits total range with realistic per-m² ratio,1300000.0,20000.0
tanger,De La Plage,Appartement,05/04/2026,36000000,180.0,à vendre,"2 chambre, 2 salon, avec Garage. Appartement  4 pièces 180 m² Tanger  « De La Plage »",,False,flag,"prix 36,000,000 fits neither total nor per_m2 for tanger",36000000.0,200000.0
tanger,Centre Ville,Appartement,02/04/2026,1050000,70.0,à vendre,"3 chambre, 1 salon, avec Garage. Appartement  4 pièces 70 m² Tanger  « Centre Ville »",,False,total,fits total range with realistic per-m² ratio,1050000.0,15000.0
tanger,Non spécifié,Appartement,27/03/2026,3400000,120.0,à vendre,"2 chambre, 2 salon, avec Garage. Appartement meublé 4 pièces 120 m² Tanger",,False,total,fits total range with realistic per-m² ratio,3400000.0,28333.333333333332
